Date,Sales
2023-04-28,710
2023-04-29,2680
2023-04-30,1185
2023-05-01,2359
2023-05-02,1037
2023-05-03,993
2023-05-04,756
2023-05-05,1709
2023-05-06,1405
2023-05-07,2705
2023-05-08,1300
2023-05-09,928
2023-05-10,2218
2023-05-11,1012
2023-05-12,617
2023-05-13,2091
2023-05-14,1804
2023-05-15,1566
2023-05-16,296
2023-05-17,2878
2023-05-18,575
2023-05-19,1906
2023-05-20,2009
2023-05-21,2611
2023-05-22,721
2023-05-23,1326
2023-05-24,843
2023-05-25,2918
2023-05-26,2276
2023-05-27,2953
2023-05-28,1757
2023-05-29,2685
2023-05-30,632
2023-05-31,1405
2023-06-01,670
2023-06-02,1654
2023-06-03,644
2023-06-04,2407
2023-06-05,1063
2023-06-06,2060
2023-06-07,1927
2023-06-08,275
2023-06-09,2269
2023-06-10,2839
2023-06-11,1944
2023-06-12,2733
2023-06-13,286
2023-06-14,1181
2023-06-15,2016
2023-06-16,1677
2023-06-17,2406
2023-06-18,1008
2023-06-19,2770
2023-06-20,499
2023-06-21,867
2023-06-22,1737
2023-06-23,484
2023-06-24,1751
2023-06-25,951
2023-06-26,2437
2023-06-27,1877
2023-06-28,2133
2023-06-29,2987
2023-06-30,2488
2023-07-01,1411
2023-07-02,1897
2023-07-03,1428
2023-07-04,121
2023-07-05,819
2023-07-06,901
2023-07-07,2086
2023-07-08,553
2023-07-09,1237
2023-07-10,2768
2023-07-11,2267
2023-07-12,1746
2023-07-13,173
2023-07-14,665
2023-07-15,1431
2023-07-16,2957
2023-07-17,2464
2023-07-18,1354
2023-07-19,1822
2023-07-20,412
2023-07-21,1151
2023-07-22,1341
2023-07-23,808
2023-07-24,2191
2023-07-25,1375
2023-07-26,2953
2023-07-27,186
2023-07-28,2673
2023-07-29,2222
2023-07-30,1310
2023-07-31,1298
2023-08-01,471
2023-08-02,625
2023-08-03,329
2023-08-04,701
2023-08-05,2243
2023-08-06,1747
2023-08-07,891
2023-08-08,2726
2023-08-09,1431
2023-08-10,1162
2023-08-11,1785
2023-08-12,2848
2023-08-13,1324
2023-08-14,1344
2023-08-15,2651
2023-08-16,2865
2023-08-17,476
2023-08-18,2519
2023-08-19,963
2023-08-20,2728
2023-08-21,788
2023-08-22,2219
2023-08-23,1684
2023-08-24,2489
2023-08-25,130
2023-08-26,752
2023-08-27,1086
2023-08-28,1641
2023-08-29,1716
2023-08-30,1157
2023-08-31,2234
2023-09-01,2442
2023-09-02,2829
2023-09-03,2808
2023-09-04,1223
2023-09-05,2873
2023-09-06,2880
2023-09-07,2369
2023-09-08,828
2023-09-09,977
2023-09-10,1219
2023-09-11,780
2023-09-12,1912
2023-09-13,2956
2023-09-14,1223
2023-09-15,1380
2023-09-16,2902
2023-09-17,2949
2023-09-18,2564
2023-09-19,1459
2023-09-20,392
2023-09-21,1859
2023-09-22,2455
2023-09-23,1985
2023-09-24,2579
2023-09-25,1643
2023-09-26,1741
2023-09-27,1532
2023-09-28,1184
2023-09-29,1015
2023-09-30,1995
2023-10-01,1256
2023-10-02,126
2023-10-03,2758
2023-10-04,481
2023-10-05,611
2023-10-06,1476
2023-10-07,1772
2023-10-08,1339
2023-10-09,510
2023-10-10,465
2023-10-11,1086
2023-10-12,1177
2023-10-13,406
2023-10-14,2435
2023-10-15,147
2023-10-16,1352
2023-10-17,2901
2023-10-18,2963
2023-10-19,2310
2023-10-20,1006
2023-10-21,2982
2023-10-22,2138
2023-10-23,1604
2023-10-24,532
2023-10-25,2692
2023-10-26,398
2023-10-27,279
2023-10-28,405
2023-10-29,2330
2023-10-30,501
2023-10-31,2835
2023-11-01,1470
2023-11-02,2849
2023-11-03,485
2023-11-04,2374
2023-11-05,1654
2023-11-06,1256
2023-11-07,1946
2023-11-08,2458
2023-11-09,2864
2023-11-10,2934
2023-11-11,2475
2023-11-12,187
2023-11-13,1825
2023-11-14,1941
2023-11-15,1437
2023-11-16,1518
2023-11-17,1447
2023-11-18,1506
2023-11-19,1000
2023-11-20,917
2023-11-21,834
2023-11-22,977
2023-11-23,972
2023-11-24,1917
2023-11-25,1204
2023-11-26,1286
2023-11-27,1458
2023-11-28,1618
2023-11-29,2457
2023-11-30,2339
2023-12-01,1545
2023-12-02,254
2023-12-03,678
2023-12-04,803
2023-12-05,1378
2023-12-06,463
2023-12-07,2198
2023-12-08,952
2023-12-09,1131
2023-12-10,243
2023-12-11,1128
2023-12-12,855
2023-12-13,2166
2023-12-14,491
2023-12-15,2479
2023-12-16,178
2023-12-17,2906
2023-12-18,2937
2023-12-19,1623
2023-12-20,2055
2023-12-21,1226
2023-12-22,2318
2023-12-23,1505
2023-12-24,2770
2023-12-25,950
2023-12-26,1537
2023-12-27,1853
2023-12-28,2492
2023-12-29,1674
2023-12-30,1473
2023-12-31,1894
2024-01-01,2088
2024-01-02,474
2024-01-03,1109
2024-01-04,1464
2024-01-05,2664
2024-01-06,1261
2024-01-07,2376
2024-01-08,2756
2024-01-09,2231
2024-01-10,1226
2024-01-11,290
2024-01-12,2009
2024-01-13,559
2024-01-14,649
2024-01-15,1636
2024-01-16,2080
2024-01-17,1319
2024-01-18,2939
2024-01-19,629
2024-01-20,651
2024-01-21,1307
2024-01-22,1401
2024-01-23,1923
2024-01-24,2766
2024-01-25,684
2024-01-26,1129
2024-01-27,138
2024-01-28,2370
2024-01-29,1114
2024-01-30,1131
2024-01-31,1772
2024-02-01,2738
2024-02-02,1135
2024-02-03,1976
2024-02-04,1261
2024-02-05,646
2024-02-06,1525
2024-02-07,2375
2024-02-08,1002
2024-02-09,274
2024-02-10,614
2024-02-11,438
2024-02-12,2955
2024-02-13,340
2024-02-14,855
2024-02-15,141
2024-02-16,574
2024-02-17,727
2024-02-18,1023
2024-02-19,1116
2024-02-20,1282
2024-02-21,1602
2024-02-22,1218
2024-02-23,1420
2024-02-24,1910
2024-02-25,723
2024-02-26,1151
2024-02-27,719
2024-02-28,597
2024-02-29,677
2024-03-01,232
2024-03-02,1889
2024-03-03,1207
2024-03-04,368
2024-03-05,2091
2024-03-06,383
2024-03-07,2722
2024-03-08,1158
2024-03-09,967
2024-03-10,1704
2024-03-11,791
2024-03-12,1123
2024-03-13,1870
2024-03-14,381
2024-03-15,1069
2024-03-16,973
2024-03-17,2059
2024-03-18,190
2024-03-19,782
2024-03-20,1249
2024-03-21,2826
2024-03-22,2730
2024-03-23,318
2024-03-24,2438
2024-03-25,2800
2024-03-26,2083
2024-03-27,2596
2024-03-28,632
2024-03-29,697
2024-03-30,864
2024-03-31,1532
2024-04-01,2287
2024-04-02,1558
2024-04-03,2906
2024-04-04,2514
2024-04-05,2190
2024-04-06,440
2024-04-07,1002
2024-04-08,2631
2024-04-09,2578
2024-04-10,1868
2024-04-11,990
2024-04-12,2006
2024-04-13,1077
2024-04-14,2776
2024-04-15,1247
2024-04-16,1134
2024-04-17,1417
2024-04-18,2940
2024-04-19,1973
2024-04-20,2784
2024-04-21,1548
2024-04-22,1360
2024-04-23,1766
2024-04-24,1153
2024-04-25,2582
2024-04-26,319
2024-04-27,1704
2024-04-28,2250
2024-04-29,848
2024-04-30,2616
2024-05-01,1890
2024-05-02,797
2024-05-03,1795
2024-05-04,2513
2024-05-05,920
2024-05-06,314
2024-05-07,2675
2024-05-08,102
2024-05-09,1199
2024-05-10,1363
2024-05-11,2807
2024-05-12,2773
2024-05-13,2742
2024-05-14,1317
2024-05-15,2341
2024-05-16,1105
2024-05-17,709
2024-05-18,369
2024-05-19,234
2024-05-20,2695
2024-05-21,536
2024-05-22,2979
2024-05-23,2279
2024-05-24,2189
2024-05-25,2828
2024-05-26,2036
2024-05-27,571
2024-05-28,770
2024-05-29,2140
2024-05-30,966
2024-05-31,1860
2024-06-01,1530
2024-06-02,649
2024-06-03,2081
2024-06-04,627
2024-06-05,152
2024-06-06,195
2024-06-07,952
2024-06-08,1213
2024-06-09,1325
2024-06-10,1131
2024-06-11,2375
2024-06-12,1860
2024-06-13,972
2024-06-14,1961
2024-06-15,484
2024-06-16,1160
2024-06-17,755
2024-06-18,1705
2024-06-19,2197
2024-06-20,1477
2024-06-21,306
2024-06-22,2484
2024-06-23,2605
2024-06-24,2663
2024-06-25,1688
2024-06-26,2091
2024-06-27,2883
2024-06-28,2727
2024-06-29,1197
2024-06-30,1124
2024-07-01,456
2024-07-02,2424
2024-07-03,767
2024-07-04,1679
2024-07-05,535
2024-07-06,2173
2024-07-07,565
2024-07-08,185
2024-07-09,2950
2024-07-10,118
2024-07-11,1643
2024-07-12,660
2024-07-13,1550
2024-07-14,505
2024-07-15,291
2024-07-16,2544
2024-07-17,2383
2024-07-18,2910
2024-07-19,1788
2024-07-20,425
2024-07-21,2447
2024-07-22,2570
2024-07-23,1850
2024-07-24,2276
2024-07-25,2233
2024-07-26,2499
2024-07-27,126
2024-07-28,1275
2024-07-29,1947
2024-07-30,2306
2024-07-31,1657
2024-08-01,2660
2024-08-02,526
2024-08-03,891
2024-08-04,1441
2024-08-05,1685
2024-08-06,776
2024-08-07,1546
2024-08-08,2278
2024-08-09,571
2024-08-10,1438
2024-08-11,1451
2024-08-12,1796
2024-08-13,810
2024-08-14,224
2024-08-15,1397
2024-08-16,2255
2024-08-17,2829
2024-08-18,1390
2024-08-19,1897
2024-08-20,599
2024-08-21,182
2024-08-22,2394
2024-08-23,2477
2024-08-24,1853
2024-08-25,1663
2024-08-26,616
2024-08-27,2685
2024-08-28,2377
2024-08-29,172
2024-08-30,2805
2024-08-31,553
2024-09-01,2500
2024-09-02,186
2024-09-03,2246
2024-09-04,565
2024-09-05,2496
2024-09-06,2678
2024-09-07,2408
2024-09-08,2553
2024-09-09,2081
2024-09-10,1171
2024-09-11,577
2024-09-12,1193
2024-09-13,1973
2024-09-14,817
2024-09-15,541
2024-09-16,1915
2024-09-17,2535
2024-09-18,507
2024-09-19,1119
2024-09-20,1540
2024-09-21,2761
2024-09-22,2088
2024-09-23,2635
2024-09-24,1691
2024-09-25,962
2024-09-26,2844
2024-09-27,520
2024-09-28,2884
2024-09-29,2853
2024-09-30,1504
2024-10-01,339
2024-10-02,2162
2024-10-03,1434
2024-10-04,2507
2024-10-05,759
2024-10-06,2802
2024-10-07,2485
2024-10-08,293
2024-10-09,2538
2024-10-10,1853
2024-10-11,1384
2024-10-12,505
2024-10-13,1878
2024-10-14,750
2024-10-15,1746
2024-10-16,2611
2024-10-17,2532
2024-10-18,2600
2024-10-19,1877
2024-10-20,530
2024-10-21,1616
2024-10-22,165
2024-10-23,1333
2024-10-24,1271
2024-10-25,1181
2024-10-26,1608
2024-10-27,2190
2024-10-28,214
2024-10-29,1068
2024-10-30,543
2024-10-31,2646
2024-11-01,1451
2024-11-02,2756
2024-11-03,2287
2024-11-04,2047
2024-11-05,1080
2024-11-06,622
2024-11-07,963
2024-11-08,692
2024-11-09,1673
2024-11-10,545
2024-11-11,1373
2024-11-12,2234
2024-11-13,357
2024-11-14,1241
2024-11-15,2000
2024-11-16,2543
2024-11-17,2586
2024-11-18,2444
2024-11-19,120
2024-11-20,1494
2024-11-21,1181
2024-11-22,2615
2024-11-23,757
2024-11-24,169
2024-11-25,2979
2024-11-26,568
2024-11-27,1458
2024-11-28,658
2024-11-29,952
2024-11-30,2064
2024-12-01,2512
2024-12-02,1810
2024-12-03,1980
2024-12-04,1194
2024-12-05,1887
2024-12-06,882
2024-12-07,336
2024-12-08,285
2024-12-09,2372
2024-12-10,2406
2024-12-11,702
2024-12-12,514
2024-12-13,1499
2024-12-14,2505
2024-12-15,1607
2024-12-16,112
2024-12-17,296
2024-12-18,1561
2024-12-19,391
2024-12-20,2603
2024-12-21,1781
2024-12-22,997
2024-12-23,1698
2024-12-24,821
2024-12-25,415
2024-12-26,1657
2024-12-27,988
2024-12-28,131
2024-12-29,2242
2024-12-30,572
2024-12-31,1445
2025-01-01,2206
2025-01-02,2750
2025-01-03,1454
2025-01-04,821
2025-01-05,2094
2025-01-06,583
2025-01-07,2959
2025-01-08,2974
2025-01-09,139
2025-01-10,2853
2025-01-11,336
2025-01-12,1521
2025-01-13,1091
2025-01-14,2736
2025-01-15,2926
2025-01-16,239
2025-01-17,1151
2025-01-18,1976
2025-01-19,2241
2025-01-20,2069
2025-01-21,294
2025-01-22,1131
2025-01-23,1605
2025-01-24,910
2025-01-25,2977
2025-01-26,2740
2025-01-27,2278
2025-01-28,2331
2025-01-29,2339
2025-01-30,803
2025-01-31,2191
2025-02-01,1844
2025-02-02,676
2025-02-03,660
2025-02-04,2405
2025-02-05,2032
2025-02-06,1520
2025-02-07,364
2025-02-08,2002
2025-02-09,361
2025-02-10,1125
2025-02-11,1070
2025-02-12,1650
2025-02-13,2127
2025-02-14,939
2025-02-15,2906
2025-02-16,118
2025-02-17,785
2025-02-18,1183
2025-02-19,1182
2025-02-20,1500
2025-02-21,2339
2025-02-22,2463
2025-02-23,773
2025-02-24,811
2025-02-25,670
2025-02-26,1567
2025-02-27,2159
2025-02-28,527
2025-03-01,2453
2025-03-02,1248
2025-03-03,1294
2025-03-04,1664
2025-03-05,265
2025-03-06,2870
2025-03-07,2693
2025-03-08,967
2025-03-09,1116
2025-03-10,933
2025-03-11,895
2025-03-12,594
2025-03-13,2076
2025-03-14,408
2025-03-15,2497
2025-03-16,1099
2025-03-17,2944
2025-03-18,671
2025-03-19,1015
2025-03-20,2284
2025-03-21,1971
2025-03-22,2139
2025-03-23,805
2025-03-24,1255
2025-03-25,734
2025-03-26,1775
2025-03-27,742
2025-03-28,1962
2025-03-29,969
2025-03-30,1343
2025-03-31,1808
2025-04-01,2756
2025-04-02,1993
2025-04-03,326
2025-04-04,2712
2025-04-05,1798
2025-04-06,2572
2025-04-07,2131
2025-04-08,838
2025-04-09,2509
2025-04-10,1088
2025-04-11,2141
2025-04-12,1305
2025-04-13,2595
2025-04-14,2184
2025-04-15,2806
2025-04-16,787
2025-04-17,2555
2025-04-18,2319
2025-04-19,1693
2025-04-20,1567
2025-04-21,256
2025-04-22,1308
2025-04-23,1249
2025-04-24,2479
2025-04-25,1624
2025-04-26,1072
2025-04-27,1755
2025-04-28,856
2025-04-29,2974
2025-04-30,509
2025-05-01,2441
2025-05-02,171
2025-05-03,2896
2025-05-04,997
2025-05-05,463
2025-05-06,2668
2025-05-07,1208
2025-05-08,1531
2025-05-09,1079
2025-05-10,2732
2025-05-11,1257
2025-05-12,2187
2025-05-13,2708
2025-05-14,2449
2025-05-15,2242
2025-05-16,1949
2025-05-17,1636
2025-05-18,1608
2025-05-19,759
2025-05-20,1066
2025-05-21,154
2025-05-22,806
2025-05-23,2718
2025-05-24,1943
2025-05-25,157
2025-05-26,2643
2025-05-27,647
2025-05-28,2461
2025-05-29,624
2025-05-30,1493
2025-05-31,2654
2025-06-01,1615
2025-06-02,1168
2025-06-03,1882
2025-06-04,694
2025-06-05,2908
2025-06-06,1688
2025-06-07,2753
2025-06-08,325
2025-06-09,1579
2025-06-10,779
2025-06-11,313
2025-06-12,194
2025-06-13,2956
2025-06-14,1319
2025-06-15,2804
2025-06-16,2161
2025-06-17,2654
2025-06-18,2932
2025-06-19,2492
2025-06-20,809
2025-06-21,1384
2025-06-22,590
2025-06-23,449
2025-06-24,490
2025-06-25,2337
2025-06-26,1655
2025-06-27,121
2025-06-28,826
2025-06-29,1159
2025-06-30,2384
2025-07-01,918
2025-07-02,556
2025-07-03,2711
2025-07-04,1599
2025-07-05,561
2025-07-06,2766
2025-07-07,254
2025-07-08,2294
2025-07-09,2913
2025-07-10,2156
2025-07-11,1113
2025-07-12,496
2025-07-13,1980
2025-07-14,2831
2025-07-15,2264
2025-07-16,569
2025-07-17,1953
2025-07-18,2237
2025-07-19,1568
2025-07-20,542
2025-07-21,1091
2025-07-22,1940
2025-07-23,1015
2025-07-24,2416
2025-07-25,2219
2025-07-26,950
2025-07-27,2662
2025-07-28,511
2025-07-29,939
2025-07-30,1427
2025-07-31,2733
2025-08-01,1347
2025-08-02,426
2025-08-03,662
2025-08-04,807
2025-08-05,2137
2025-08-06,1906
2025-08-07,2393
2025-08-08,2712
2025-08-09,1480
2025-08-10,2980
2025-08-11,1181
2025-08-12,917
2025-08-13,985
2025-08-14,1213
2025-08-15,1570
2025-08-16,2989
2025-08-17,1109
2025-08-18,2353
2025-08-19,961
2025-08-20,2263
2025-08-21,738
2025-08-22,1923
2025-08-23,2709
2025-08-24,2475
2025-08-25,2934
2025-08-26,2206
2025-08-27,1580
2025-08-28,1135
2025-08-29,1354
2025-08-30,2807
2025-08-31,1870
2025-09-01,2630
2025-09-02,686
2025-09-03,617
2025-09-04,2668
2025-09-05,462
2025-09-06,2024
2025-09-07,1601
2025-09-08,1108
2025-09-09,2190
2025-09-10,1988
2025-09-11,266
2025-09-12,1782
2025-09-13,987
2025-09-14,1764
2025-09-15,2295
2025-09-16,609
2025-09-17,1378
2025-09-18,1238
2025-09-19,1419
2025-09-20,1531
2025-09-21,728
2025-09-22,1609
2025-09-23,396
2025-09-24,319
2025-09-25,223
2025-09-26,2364
2025-09-27,1225
2025-09-28,1644
2025-09-29,733
2025-09-30,2081
2025-10-01,1942
2025-10-02,2953
2025-10-03,2367
2025-10-04,1518
2025-10-05,1546
2025-10-06,2938
2025-10-07,393
2025-10-08,2529
2025-10-09,631
2025-10-10,1689
2025-10-11,512
2025-10-12,1507
2025-10-13,2379
2025-10-14,1574
2025-10-15,1488
2025-10-16,981
2025-10-17,2578
2025-10-18,2480
2025-10-19,360
2025-10-20,1237
2025-10-21,2784
2025-10-22,1365
2025-10-23,1582
2025-10-24,1485
2025-10-25,2832
2025-10-26,2819
2025-10-27,2397
2025-10-28,2505
2025-10-29,1230
2025-10-30,1663
2025-10-31,589
2025-11-01,2104
2025-11-02,2362
2025-11-03,224
2025-11-04,1081
2025-11-05,498
2025-11-06,1979
2025-11-07,2602
2025-11-08,2850
2025-11-09,602
2025-11-10,2134
2025-11-11,842
2025-11-12,175
2025-11-13,685
2025-11-14,647
2025-11-15,2199
2025-11-16,1448
2025-11-17,2112
2025-11-18,2163
2025-11-19,2021
2025-11-20,1528
2025-11-21,319
2025-11-22,174
2025-11-23,1864
2025-11-24,1197
2025-11-25,571
2025-11-26,2840
2025-11-27,1455
2025-11-28,2113
2025-11-29,2580
2025-11-30,1289
2025-12-01,113
2025-12-02,1799
2025-12-03,517
2025-12-04,1562
2025-12-05,1114
2025-12-06,728
2025-12-07,1225
2025-12-08,1608
2025-12-09,2376
2025-12-10,2103
2025-12-11,2995
2025-12-12,1327
2025-12-13,1365
2025-12-14,458
2025-12-15,2172
2025-12-16,2993
2025-12-17,511
2025-12-18,1055
2025-12-19,1212
2025-12-20,2649
2025-12-21,2773
2025-12-22,2247
2025-12-23,1003
2025-12-24,387
2025-12-25,489
2025-12-26,2725
2025-12-27,237
2025-12-28,442
2025-12-29,464
2025-12-30,1538
2025-12-31,2253
2026-01-01,836
2026-01-02,1547
2026-01-03,2682
2026-01-04,1564
2026-01-05,308
2026-01-06,2278
2026-01-07,685
2026-01-08,306
2026-01-09,1060
2026-01-10,596
2026-01-11,958
2026-01-12,254
2026-01-13,1222
2026-01-14,1653
2026-01-15,163
2026-01-16,1037
2026-01-17,2114
2026-01-18,2645
2026-01-19,812
2026-01-20,2312
2026-01-21,1862
2026-01-22,2068
2026-01-23,2875
2026-01-24,2537
2026-01-25,2430
2026-01-26,907
2026-01-27,2445
2026-01-28,144
2026-01-29,1644
2026-01-30,841
2026-01-31,1664
2026-02-01,2320
2026-02-02,1442
2026-02-03,2775
2026-02-04,736
2026-02-05,750
2026-02-06,1320
2026-02-07,927
2026-02-08,1346
2026-02-09,1354
2026-02-10,726
2026-02-11,1411
2026-02-12,2278
2026-02-13,1436
2026-02-14,1805
2026-02-15,177
2026-02-16,515
2026-02-17,1901
2026-02-18,307
2026-02-19,829
2026-02-20,2244
2026-02-21,271
2026-02-22,684
2026-02-23,119
2026-02-24,1766
2026-02-25,1458
2026-02-26,2476
2026-02-27,2515
2026-02-28,2155
2026-03-01,728
2026-03-02,1786
2026-03-03,2724
2026-03-04,965
2026-03-05,291
2026-03-06,1101
2026-03-07,2496
2026-03-08,1869
2026-03-09,1677
2026-03-10,768
2026-03-11,1691
2026-03-12,1904
2026-03-13,2970
2026-03-14,638
2026-03-15,105
2026-03-16,2183
2026-03-17,300
2026-03-18,2891
2026-03-19,261
2026-03-20,718
2026-03-21,2801
2026-03-22,1585
2026-03-23,1536
2026-03-24,140
2026-03-25,1423
2026-03-26,827
2026-03-27,2699
2026-03-28,1070
2026-03-29,2657
2026-03-30,667
2026-03-31,1773
2026-04-01,155
2026-04-02,2784
2026-04-03,2309
2026-04-04,1023
2026-04-05,1619
2026-04-06,1144
2026-04-07,1359
2026-04-08,1637
2026-04-09,562
2026-04-10,846
2026-04-11,2187
2026-04-12,2697
2026-04-13,1137
2026-04-14,570
2026-04-15,1648
2026-04-16,2281
2026-04-17,1681
2026-04-18,936
2026-04-19,1024
2026-04-20,465
2026-04-21,2304
2026-04-22,1334
2026-04-23,1195
2026-04-24,171
2026-04-25,1246
2026-04-26,2307
2026-04-27,1844
2026-04-28,146
2026-04-29,312
2026-04-30,2708
2026-05-01,2323
2026-05-02,1519
2026-05-03,736
2026-05-04,2605
2026-05-05,2647
2026-05-06,2308
2026-05-07,751
2026-05-08,2378
2026-05-09,2895
2026-05-10,2176
2026-05-11,2568
2026-05-12,2788
2026-05-13,1335
2026-05-14,2149
2026-05-15,1530
2026-05-16,273
2026-05-17,2888
2026-05-18,2441
2026-05-19,238
2026-05-20,2273
2026-05-21,2019
2026-05-22,1148
2026-05-23,934
2026-05-24,1111
2026-05-25,158
2026-05-26,1413
2026-05-27,2530
2026-05-28,1966
2026-05-29,1820
2026-05-30,1149
2026-05-31,292
2026-06-01,2646
2026-06-02,604
2026-06-03,2047
2026-06-04,486
2026-06-05,2648
2026-06-06,1830
2026-06-07,321
2026-06-08,1565
2026-06-09,2974
2026-06-10,1107
2026-06-11,2408
2026-06-12,1026
2026-06-13,2607
2026-06-14,1298
2026-06-15,1457
2026-06-16,1231
2026-06-17,2186
2026-06-18,341
2026-06-19,1037
2026-06-20,2621
2026-06-21,1807
2026-06-22,2200
2026-06-23,1701
2026-06-24,110
2026-06-25,1209
2026-06-26,950
2026-06-27,2885
2026-06-28,208
2026-06-29,1773
2026-06-30,1265
2026-07-01,471
2026-07-02,2984
2026-07-03,1179
2026-07-04,1551
2026-07-05,159
2026-07-06,456
2026-07-07,2150
2026-07-08,888
2026-07-09,124
2026-07-10,1765
2026-07-11,1840
2026-07-12,1357
2026-07-13,1977
2026-07-14,361
2026-07-15,1634
2026-07-16,1266
2026-07-17,1031
2026-07-18,2873
2026-07-19,2042
2026-07-20,2395
2026-07-21,850
2026-07-22,1099
2026-07-23,496
2026-07-24,1660
2026-07-25,2908
2026-07-26,1484
2026-07-27,1376
2026-07-28,1092
2026-07-29,2028
2026-07-30,2545
2026-07-31,1436
2026-08-01,350
2026-08-02,2717
2026-08-03,2552
2026-08-04,2798
2026-08-05,617
2026-08-06,1742
2026-08-07,1101
2026-08-08,1596
2026-08-09,648
2026-08-10,2306
2026-08-11,2862
2026-08-12,2928
2026-08-13,1632
2026-08-14,538
2026-08-15,923
2026-08-16,915
2026-08-17,2860
2026-08-18,2888
2026-08-19,2040
2026-08-20,2005
2026-08-21,1321
2026-08-22,1229
2026-08-23,1529
2026-08-24,653
2026-08-25,965
2026-08-26,1816
2026-08-27,1037
2026-08-28,2346
2026-08-29,119
2026-08-30,635
2026-08-31,1405
2026-09-01,1980
2026-09-02,2119
2026-09-03,2822
2026-09-04,2502
2026-09-05,1627
2026-09-06,115
2026-09-07,2813
2026-09-08,1478
2026-09-09,477
2026-09-10,2555
2026-09-11,1109
2026-09-12,977
2026-09-13,2481
2026-09-14,463
2026-09-15,178
2026-09-16,1766
2026-09-17,373
2026-09-18,419
2026-09-19,1592
2026-09-20,1808
2026-09-21,1311
2026-09-22,1280
2026-09-23,1091
2026-09-24,145
2026-09-25,1511
2026-09-26,1615
2026-09-27,1646
2026-09-28,1363
2026-09-29,1905
2026-09-30,1555
2026-10-01,500
2026-10-02,1067
2026-10-03,2314
2026-10-04,1466
2026-10-05,1323
2026-10-06,2091
2026-10-07,397
2026-10-08,2470
2026-10-09,1896
2026-10-10,378
2026-10-11,567
2026-10-12,542
2026-10-13,2670
2026-10-14,2498
2026-10-15,1816
2026-10-16,1578
2026-10-17,444
2026-10-18,2954
2026-10-19,2969
2026-10-20,1001
2026-10-21,1604
2026-10-22,2540
2026-10-23,2692
2026-10-24,1291
2026-10-25,1727
2026-10-26,1919
2026-10-27,1859
2026-10-28,2294
2026-10-29,782
2026-10-30,1956
2026-10-31,1466
2026-11-01,1120
2026-11-02,396
2026-11-03,218
2026-11-04,900
2026-11-05,2981
2026-11-06,2763
2026-11-07,1005
2026-11-08,1242
2026-11-09,173
2026-11-10,2411
2026-11-11,2394
2026-11-12,903
2026-11-13,572
2026-11-14,1825
2026-11-15,1236
2026-11-16,2009
2026-11-17,2022
2026-11-18,1063
2026-11-19,562
2026-11-20,2887
2026-11-21,1273
2026-11-22,2084
2026-11-23,556
2026-11-24,2373
2026-11-25,2549
2026-11-26,772
2026-11-27,2167
2026-11-28,2200
2026-11-29,905
2026-11-30,1023
2026-12-01,227
2026-12-02,830
2026-12-03,1220
2026-12-04,1503
2026-12-05,330
2026-12-06,1289
2026-12-07,175
2026-12-08,1319
2026-12-09,1326
2026-12-10,2387
2026-12-11,1773
2026-12-12,953
2026-12-13,1895
